,offer_accepted,reward,mailer_type,income_level,#_bank_accounts_open,overdraft_protection,credit_rating,#_credit_cards_held,#_homes_owned,household_size,own_your_home,average_balance
48,No,Cash Back,Postcard,Medium,1,No,High,2,more than 1,2,Yes,7.087155907348428
49,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,7.209710010720636
50,No,Cash Back,Postcard,Medium,more than 1,No,High,1,1,4,No,6.969085534133743
51,No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,7.045994323205903
52,No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,7.1774006639477665
53,No,Cash Back,Letter,Medium,1,No,Low,1,more than 1,4,Yes,6.835722076082305
54,No,Cash Back,Postcard,Low,1,No,Low,2,1,2,No,6.577861357721047
55,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,7.085273652270072
56,No,Air Miles,Letter,Medium,1,No,Medium,more than 2,1,2,Yes,6.865630352681466
57,No,Points,Postcard,Medium,more than 1,No,Low,2,1,4,No,6.957497370876951
58,No,Points,Postcard,Medium,more than 1,No,High,2,1,5,Yes,7.144801735465339
59,No,Air Miles,Postcard,Medium,1,No,High,more than 2,1,2,Yes,7.026204759181681
60,No,Air Miles,Letter,High,more than 1,No,High,2,more than 1,1,No,6.966731484082434
61,No,Cash Back,Postcard,Medium,1,No,High,1,1,1,No,6.9228901665664075
62,No,Air Miles,Letter,Low,1,No,High,1,1,3,Yes,6.793746362370269
63,No,Air Miles,Letter,Medium,1,No,Medium,more than 2,more than 1,4,No,6.931959967678955
64,No,Cash Back,Letter,High,1,No,Low,1,1,3,Yes,6.596463340891223
65,No,Points,Postcard,Low,1,No,Medium,2,1,2,No,6.677712985976771
66,No,Cash Back,Postcard,Medium,more than 1,No,Low,1,1,3,Yes,7.459626872184129
67,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,6.878841268817495
68,No,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,6.903998230104425
69,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.807934943699926
70,No,Cash Back,Postcard,High,more than 1,No,High,1,1,5,Yes,7.029530335908058
71,No,Air Miles,Postcard,Medium,more than 1,No,Medium,2,1,3,Yes,7.006468751918169
72,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,6.884742504673064
73,No,Air Miles,Letter,Medium,more than 1,No,High,2,1,5,Yes,6.734294350620379
74,No,Points,Postcard,Medium,1,No,Medium,2,1,4,No,7.165493475060845
75,No,Cash Back,Postcard,Medium,more than 1,No,High,2,1,5,Yes,6.709913910530146
76,No,Air Miles,Postcard,Medium,more than 1,No,Low,2,more than 1,3,Yes,6.998966159035521
77,No,Points,Postcard,Low,1,Yes,Low,1,1,2,Yes,7.129497849380718
78,No,Cash Back,Letter,Medium,1,No,High,more than 2,1,2,Yes,7.043814723389233
79,No,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,6.814268435888673
80,No,Cash Back,Postcard,Medium,1,Yes,Low,more than 2,1,3,Yes,6.884742504673064
81,No,Points,Postcard,Low,more than 1,No,Medium,2,more than 1,4,Yes,6.60934924316738
82,No,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,7.203963401153352
83,No,Air Miles,Letter,Medium,1,No,Medium,1,1,4,No,7.491227092732982
84,No,Points,Letter,Low,more than 1,Yes,Medium,1,1,3,Yes,7.078973757431427
85,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,7.099820874725485
86,No,Cash Back,Letter,Low,1,Yes,High,1,1,2,Yes,6.941915130628842
87,No,Cash Back,Letter,High,more than 1,No,Low,2,1,5,Yes,6.871091294610546
88,No,Cash Back,Postcard,Medium,1,No,High,2,more than 1,5,Yes,6.934153752836668
89,No,Points,Letter,Low,1,No,High,1,1,5,Yes,6.977980723871634
90,No,Cash Back,Letter,Low,1,No,Low,2,more than 1,3,Yes,6.9474566458336895
91,No,Air Miles,Postcard,Medium,1,No,Low,more than 2,1,3,Yes,6.887807641172441
92,No,Points,Postcard,High,1,No,High,2,1,1,Yes,6.809591030194905
93,No,Cash Back,Letter,High,1,Yes,Medium,2,1,5,Yes,6.829793737512425
94,No,Cash Back,Postcard,Low,1,No,Low,1,1,2,Yes,6.9686151672389
95,No,Points,Postcard,Medium,1,Yes,Medium,more than 2,more than 1,1,No,6.706250902771409
96,No,Cash Back,Postcard,Medium,more than 1,No,Low,1,1,4,Yes,6.8343778091773615
97,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,7.242976733701697
98,No,Points,Postcard,Low,more than 1,No,Low,1,more than 1,5,No,6.942639680835639
99,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,6.6059742821508545
100,No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,7.13289683295902
101,No,Points,Postcard,Low,1,No,High,1,1,5,Yes,7.051639149310715
102,No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,6.762729506931879
103,No,Cash Back,Letter,Medium,1,No,High,more than 2,1,2,No,7.053153481671494
104,No,Cash Back,Postcard,High,1,No,High,1,more than 1,5,No,6.995308175989998
105,No,Cash Back,Letter,Low,1,No,Medium,2,1,4,No,6.995308175989998
106,No,Air Miles,Letter,Low,1,No,Low,2,1,3,Yes,6.652540396667858
107,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.959398512133975
108,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,6.851449442771043
109,No,Points,Letter,Medium,1,No,High,1,more than 1,4,No,7.045994323205903
110,No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,7.056606225714492
111,No,Air Miles,Postcard,High,1,No,High,1,1,3,No,6.730421263699221
112,No,Cash Back,Letter,Medium,more than 1,No,Medium,2,1,3,Yes,6.9648442459662645
113,No,Cash Back,Postcard,Medium,1,No,Medium,more than 2,1,5,No,6.573330943978225
114,No,Cash Back,Letter,Medium,1,No,High,2,1,3,No,6.764750584565133
115,No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,6.789253234901136
116,No,Cash Back,Letter,High,1,No,Medium,2,1,5,No,7.491506032762684
117,No,Points,Postcard,High,1,No,High,2,1,3,Yes,6.988413181999592
118,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,6.778500443124875
119,No,Air Miles,Letter,Medium,1,No,High,2,1,3,No,6.540308238061494
120,No,Air Miles,Postcard,Low,more than 1,No,Medium,2,more than 1,4,Yes,6.703801422061068
121,No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,6.863280788880307
122,No,Cash Back,Letter,High,1,No,High,2,1,4,Yes,7.1565665770449245
123,No,Air Miles,Letter,High,1,Yes,Low,2,1,3,Yes,6.844282856026563
124,No,Points,Letter,Medium,more than 1,Yes,Medium,2,1,3,Yes,6.825188555325175
125,No,Points,Postcard,Medium,more than 1,Yes,High,1,1,3,Yes,6.780773817221347
126,No,Points,Letter,Medium,1,Yes,Low,more than 2,1,4,No,7.074963197966044
127,No,Air Miles,Postcard,Low,1,No,Medium,1,more than 1,3,No,7.05142262879455
128,No,Points,Postcard,High,1,No,High,2,1,4,Yes,6.678656530629254
129,No,Points,Postcard,Medium,1,Yes,Low,more than 2,1,4,Yes,6.833301093057189
130,No,Points,Letter,Medium,1,No,Medium,more than 2,1,2,No,7.501082124259871
131,No,Cash Back,Letter,Low,1,No,Medium,1,1,5,No,7.05380177991138
132,No,Air Miles,Postcard,High,1,Yes,Low,2,1,4,No,7.02331361961641
133,No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,7.093404625868766
134,No,Air Miles,Letter,Low,more than 1,No,Low,1,1,4,Yes,7.283276510717229
135,No,Points,Postcard,High,1,No,Low,2,1,2,No,6.5337888379333435
136,No,Points,Postcard,High,more than 1,Yes,Low,1,1,3,Yes,6.834108738813838
137,No,Points,Postcard,High,1,No,Low,2,1,2,No,6.839476438228843
138,No,Cash Back,Letter,Medium,1,No,Low,more than 2,more than 1,5,Yes,7.172040773627522
139,No,Cash Back,Letter,High,more than 1,No,Medium,1,1,2,Yes,7.090076835776092
140,No,Points,Letter,Medium,more than 1,No,Low,1,1,3,Yes,6.989565654179703
141,No,Cash Back,Postcard,Low,1,No,High,2,1,2,No,6.998966159035521
142,No,Points,Letter,High,1,Yes,High,1,1,3,Yes,7.007600613951853
143,No,Air Miles,Letter,High,1,No,Low,1,1,4,Yes,6.950335726517255
144,No,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,6.994620812003719
145,No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.882693848386766
146,No,Air Miles,Postcard,Medium,more than 1,No,High,2,1,3,Yes,6.900227012561346
147,No,Points,Postcard,Low,1,Yes,Medium,2,1,3,Yes,7.094442293285732
148,No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,No,6.763884908562435
149,No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,7.0431599159883405
150,No,Air Miles,Letter,Medium,1,No,Medium,more than 2,more than 1,4,Yes,6.8664123154477545
151,No,Cash Back,Letter,Medium,1,No,Low,2,more than 1,3,Yes,6.963426476352598
152,No,Points,Letter,Medium,1,No,Medium,more than 2,1,3,Yes,6.54534966033442
153,No,Cash Back,Postcard,Low,1,No,High,more than 2,1,2,Yes,7.121656248929415
154,No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,6.942156705699469
155,No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,7.128896827625674
156,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,6.907505247726927
157,No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,6.9363427358340495
158,No,Air Miles,Letter,High,1,No,Low,1,1,3,No,7.044687133477281
159,No,Points,Postcard,Medium,more than 1,No,Low,2,1,6,No,7.165107001626084
160,No,Points,Letter,Medium,1,Yes,High,2,more than 1,3,Yes,7.079184394609668
161,No,Air Miles,Postcard,Medium,more than 1,No,High,1,1,5,Yes,7.0354886454916885
162,No,Cash Back,Letter,Low,1,No,Low,more than 2,1,4,Yes,7.15481065034266
163,No,Air Miles,Postcard,High,1,No,Low,2,more than 1,3,Yes,7.0587581525186645
164,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,No,6.862234763680328
165,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.979378022655104
166,No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,6.7912214627261855
167,No,Air Miles,Postcard,Low,more than 1,No,Low,more than 2,1,3,Yes,6.955115850341975
168,No,Air Miles,Letter,Low,more than 1,No,Low,1,1,3,Yes,6.495643128152179
169,No,Cash Back,Postcard,High,1,No,Medium,2,more than 1,3,Yes,6.966024187106113
170,No,Air Miles,Letter,Low,1,No,Medium,1,1,2,Yes,7.463219604366508
171,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,7.258764201294243
172,No,Points,Letter,Medium,1,No,High,2,1,3,No,7.024204091625384
173,No,Cash Back,Postcard,Medium,more than 1,No,Low,1,1,4,No,7.132297851210054
174,No,Air Miles,Letter,Medium,1,No,High,more than 2,more than 1,2,Yes,6.964135612418245
175,No,Points,Postcard,High,1,No,Low,1,more than 1,4,No,7.086737934510577
176,No,Air Miles,Letter,Medium,more than 1,Yes,High,1,1,3,Yes,6.842950055616021
177,No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,6.675192505751435
178,No,Cash Back,Letter,Medium,more than 1,No,High,1,1,4,Yes,7.2633296174768365
179,No,Air Miles,Letter,Low,more than 1,No,High,2,1,4,Yes,6.6408557457128845
180,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,6.7226297948554485
181,No,Air Miles,Letter,Low,1,No,High,2,1,3,No,7.058973090724758
182,No,Cash Back,Letter,Medium,more than 1,No,High,2,more than 1,3,Yes,6.972137537911405
183,No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,Yes,6.930739115372512
184,No,Cash Back,Postcard,Medium,1,No,Low,more than 2,1,5,Yes,7.074963197966044
185,No,Air Miles,Postcard,Low,1,No,Medium,more than 2,1,4,Yes,7.475905969367397
186,No,Cash Back,Letter,Low,more than 1,No,Low,2,more than 1,2,No,6.951054203377285
187,No,Points,Letter,Medium,1,No,High,2,1,3,No,7.440146680662688
188,No,Air Miles,Postcard,High,1,No,Medium,2,1,4,No,6.75343791859778
189,No,Air Miles,Postcard,Low,1,No,Low,more than 2,more than 1,4,No,7.005335607321001
190,No,Points,Letter,Low,1,No,Medium,2,1,4,No,6.92510391731675
191,No,Cash Back,Letter,Low,1,No,Low,more than 2,1,6,No,6.736076882286662
192,No,Cash Back,Postcard,Medium,1,No,Low,more than 2,more than 1,6,Yes,6.816462020535746
193,No,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,6.85356304989871
194,No,Cash Back,Letter,Low,1,No,High,more than 2,1,5,Yes,7.0827584549684115
195,No,Air Miles,Letter,Medium,1,No,High,more than 2,1,4,Yes,6.829793737512425
196,No,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,6.715080310108691
197,No,Points,Postcard,Medium,1,No,High,more than 2,1,4,No,6.914730892718563
198,No,Points,Letter,Low,1,No,Low,1,1,4,Yes,6.9174580544435225
199,No,Points,Letter,Low,1,No,Medium,2,1,3,No,7.029087564149662
200,No,Cash Back,Postcard,High,more than 1,No,Low,2,1,1,Yes,7.2015436698656785
201,No,Points,Postcard,Low,1,Yes,Low,more than 2,1,3,No,7.22402480828583
202,No,Cash Back,Letter,Medium,1,No,Low,1,more than 1,3,No,7.194624521176892
203,No,Points,Postcard,Low,1,Yes,High,2,1,3,Yes,6.558906771292869
204,No,Air Miles,Postcard,Medium,1,No,High,1,more than 1,3,Yes,7.31986492980897
205,No,Air Miles,Postcard,High,1,No,Medium,1,1,2,Yes,6.942156705699469
206,No,Air Miles,Postcard,Medium,1,No,Low,more than 2,1,5,No,6.9159714337534774
207,No,Air Miles,Letter,Medium,1,No,High,more than 2,1,4,Yes,6.774223886357614
208,No,Points,Letter,Medium,more than 1,No,High,1,more than 1,4,Yes,7.046647277848756
209,No,Points,Postcard,Medium,1,No,High,2,1,3,No,6.870831924877539
210,No,Points,Postcard,Medium,1,No,Low,more than 2,1,5,No,7.2715299600360925
211,No,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,7.1565665770449245
212,No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,6.937799400330514
213,No,Air Miles,Postcard,Low,1,No,High,2,1,2,No,6.785305119225573
214,No,Air Miles,Letter,Medium,1,No,Low,more than 2,more than 1,4,No,7.04359650189355
215,No,Points,Letter,Medium,1,No,Medium,2,more than 1,3,Yes,7.0192966537150445
216,No,Air Miles,Postcard,Low,1,No,Medium,more than 2,1,4,Yes,6.901234061991872
217,No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,6.971903098805889
218,No,Points,Postcard,Low,1,No,Low,more than 2,1,3,No,7.3310603052186325
219,No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,7.463219604366508
220,No,Air Miles,Letter,Medium,1,No,Medium,more than 2,1,5,No,6.842416437673797
221,No,Points,Postcard,Low,1,No,Low,1,1,1,Yes,6.965552377708354
222,No,Points,Letter,Medium,1,No,Medium,more than 2,1,3,Yes,6.752270376141742
223,No,Cash Back,Postcard,Medium,1,No,Medium,1,more than 1,5,No,7.142036574706803
224,No,Cash Back,Letter,Medium,more than 1,No,Medium,1,1,6,Yes,6.998737926694008
225,No,Cash Back,Postcard,Medium,1,No,Low,1,more than 1,3,No,7.143617602704121
226,No,Points,Postcard,Medium,1,No,Low,2,more than 1,2,Yes,7.099408163204976
227,No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,7.04882071926074
228,No,Points,Postcard,Low,more than 1,No,Medium,2,1,3,Yes,6.540308238061494
229,No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,7.168001918247849
230,No,Points,Letter,Medium,1,No,Medium,2,more than 1,3,Yes,6.538863151104813
231,No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,7.058113060570694
232,No,Cash Back,Letter,Low,1,Yes,Low,more than 2,1,1,Yes,6.774509559834775
233,No,Cash Back,Postcard,Low,1,No,High,2,1,2,Yes,7.149720584536935
234,No,Air Miles,Letter,Low,more than 1,No,Low,1,1,3,No,6.93707133331619
235,No,Cash Back,Letter,Medium,more than 1,No,Medium,1,1,4,No,6.5195159515390415
236,No,Air Miles,Postcard,High,1,No,Low,more than 2,1,4,No,6.960584892626669
237,No,Points,Postcard,Low,1,No,High,1,1,3,No,6.930494765951626
238,No,Points,Letter,Medium,1,No,Medium,more than 2,more than 1,3,Yes,6.932447891572509
239,No,Air Miles,Letter,Medium,1,No,Medium,2,more than 1,4,No,7.059832381862487
240,No,Points,Letter,Medium,1,No,High,more than 2,1,3,Yes,7.060905458475812
241,No,Air Miles,Letter,Low,1,Yes,Medium,2,1,4,Yes,6.602248621617804
242,No,Cash Back,Letter,Medium,1,No,High,2,1,3,Yes,7.0707241072602764
243,No,Air Miles,Postcard,Medium,1,No,Medium,more than 2,more than 1,5,No,7.3168803479217885
244,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,7.064331586024234
245,No,Points,Postcard,Low,1,No,High,more than 2,more than 1,1,No,6.941915130628842
246,No,Points,Postcard,Medium,1,No,High,1,1,4,Yes,6.6110324618782075
247,No,Cash Back,Postcard,Medium,more than 1,No,High,2,1,3,Yes,7.261400638360505
248,No,Points,Postcard,Medium,1,No,High,2,1,3,No,7.042941551537205
249,No,Air Miles,Postcard,Medium,1,No,High,2,1,5,No,6.720220155135295
250,No,Air Miles,Letter,Medium,1,Yes,High,1,1,4,No,6.7733663759434855
251,No,Cash Back,Postcard,High,1,No,Medium,more than 2,1,4,Yes,6.5998704992128365
252,No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,6.495643128152179
253,No,Points,Postcard,High,1,No,High,1,1,3,Yes,7.056390778121285
254,No,Points,Postcard,Medium,1,Yes,Medium,more than 2,1,2,No,6.914234245079846
255,No,Air Miles,Letter,Medium,1,No,High,2,more than 1,5,Yes,7.005562338985049
256,No,Points,Letter,Medium,more than 1,Yes,Medium,more than 2,1,5,No,6.57402926802895
257,No,Points,Letter,Medium,1,No,Low,1,1,5,Yes,7.3855410486699276
258,No,Points,Letter,High,more than 1,No,High,2,1,3,No,6.819197252000346
259,No,Cash Back,Letter,Low,1,No,Medium,more than 2,1,4,No,6.943363706449505
260,No,Air Miles,Letter,Low,more than 1,Yes,Medium,1,1,2,No,7.141047161348162
261,No,Air Miles,Postcard,Medium,1,No,Medium,more than 2,1,5,No,6.62870253322841
262,No,Air Miles,Postcard,Low,1,No,Medium,1,1,3,Yes,7.167230759543737
263,No,Cash Back,Letter,Medium,1,No,High,2,more than 1,2,Yes,7.046864834686337
264,No,Points,Postcard,Medium,more than 1,No,High,more than 2,1,4,Yes,6.6293632534374485
265,No,Air Miles,Postcard,High,more than 1,No,Low,1,1,4,Yes,7.305020190524962
266,No,Points,Postcard,Low,1,Yes,Low,1,1,5,No,6.981934677156389
267,No,Air Miles,Postcard,Medium,1,Yes,High,2,1,5,Yes,6.9985096422506015
268,No,Cash Back,Postcard,Low,1,No,Medium,more than 2,1,3,No,7.228207012763344
269,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,No,6.4765876735216
270,No,Points,Postcard,Low,1,No,Low,2,1,4,Yes,6.5283233479207885
271,No,Points,Letter,Medium,1,No,Low,1,1,5,No,6.887807641172441
272,No,Cash Back,Postcard,High,1,No,High,2,more than 1,4,No,6.818650803899316
273,No,Air Miles,Letter,Medium,1,Yes,High,more than 2,1,3,Yes,6.6283720093450516
274,No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,6.909503749516254
275,No,Points,Postcard,Medium,1,No,Low,2,1,5,Yes,7.010311867307229
276,No,Points,Letter,Medium,1,No,High,2,1,5,Yes,6.6375856316149875
277,No,Points,Letter,High,1,No,Medium,2,1,3,Yes,7.110287876392222
278,No,Air Miles,Postcard,Low,1,No,Medium,2,1,2,Yes,6.838940962981777
279,No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,6.876006580667557
280,No,Points,Postcard,Medium,more than 1,No,Low,1,more than 1,2,No,6.912494033329311
281,No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,7.108244139731541
282,No,Cash Back,Postcard,High,more than 1,No,Low,1,1,4,Yes,6.820562067279759
283,No,Cash Back,Postcard,Medium,1,No,Medium,more than 2,1,3,Yes,6.892895416075113
284,No,Cash Back,Letter,Medium,1,Yes,High,2,1,2,Yes,7.144801735465339
285,No,Points,Postcard,High,more than 1,No,Medium,2,1,4,Yes,6.802950164616011
286,No,Cash Back,Postcard,High,1,No,Medium,more than 2,1,2,No,7.111104202968168
287,No,Cash Back,Letter,Medium,more than 1,No,High,1,more than 1,4,Yes,6.9648442459662645
288,No,Points,Letter,Low,1,No,High,more than 2,1,2,Yes,7.087782539222719
289,No,Air Miles,Letter,Medium,1,No,High,2,more than 1,3,Yes,7.015936811826665
290,No,Points,Letter,Medium,more than 1,Yes,High,2,1,4,Yes,6.8775537702490155
291,No,Air Miles,Letter,Medium,1,No,Low,1,1,5,Yes,6.71447388195184
292,No,Cash Back,Postcard,Medium,more than 1,No,Low,2,more than 1,4,No,6.622403821868638
293,No,Points,Letter,Medium,1,No,High,1,more than 1,4,Yes,7.005562338985049
294,No,Air Miles,Postcard,High,1,No,Low,more than 2,1,3,No,6.630353515937912
295,No,Points,Letter,High,1,No,Low,1,1,5,Yes,6.996681488176539
296,No,Points,Letter,Medium,more than 1,No,Medium,more than 2,1,4,Yes,6.9782137426306985
297,No,Cash Back,Postcard,Low,1,No,High,2,1,3,Yes,6.814817283322868
298,No,Points,Letter,Medium,1,No,Medium,more than 2,1,5,Yes,6.786152457222888
299,No,Points,Postcard,Low,1,No,Medium,more than 2,1,6,Yes,6.916467219584159
300,No,Points,Letter,High,more than 1,Yes,High,2,1,3,Yes,6.975413927455952
301,No,Air Miles,Postcard,Medium,1,No,Low,1,1,3,No,6.999650543686393
302,No,Cash Back,Letter,High,1,No,Low,2,more than 1,3,Yes,7.054881343872431
303,No,Air Miles,Letter,Medium,1,No,Medium,2,more than 1,2,No,6.9243665447873335
304,No,Air Miles,Postcard,Low,more than 1,No,High,2,1,4,No,6.895176496775277
305,No,Cash Back,Letter,High,1,Yes,Medium,more than 2,1,3,Yes,6.870053411798126
306,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,6.847739846572151
307,No,Cash Back,Postcard,High,more than 1,Yes,Medium,1,1,3,No,6.957259473885226
308,No,Points,Postcard,Low,more than 1,No,High,1,1,3,Yes,6.564912795353081
309,No,Air Miles,Postcard,Low,more than 1,No,High,more than 2,1,4,No,7.065826833552632
310,No,Cash Back,Postcard,High,1,No,High,1,1,5,Yes,7.136085356983647
311,No,Air Miles,Letter,Low,1,No,High,1,1,3,No,7.1284959456800365
312,No,Cash Back,Letter,Low,1,No,Low,1,1,3,Yes,6.816188085456647
313,No,Cash Back,Postcard,Medium,1,No,High,2,more than 1,4,Yes,6.7875630936537314
314,No,Points,Postcard,Medium,more than 1,No,Low,1,1,2,Yes,7.005108824238047
315,No,Air Miles,Postcard,Medium,more than 1,No,Low,2,1,4,Yes,6.927312778197668
316,No,Points,Letter,Medium,more than 1,No,High,2,1,3,Yes,7.317876198626496
317,No,Points,Letter,High,1,Yes,High,1,1,3,No,6.827629234502852
